from,to,total,jury,public
al,rs,1,1,0
al,se,1,0,1
at,no,1,0,1
au,no,1,0,1
au,ru,1,1,0
az,bg,1,1,0
be,no,1,0,1
be,pt,1,1,0
bg,se,1,0,1
cy,pt,1,1,0
cz,lt,1,0,1
de,no,1,0,1
dk,il,1,1,0
dk,ua,1,0,1
ee,mt,1,1,0
ee,se,1,0,1
es,gr,1,1,0
fi,mt,1,1,0
fr,fi,1,0,1
gb,be,1,1,0
ge,mt,1,1,0
hr,al,1,0,1
hr,pt,1,1,0
ie,bg,1,1,0
ie,se,1,0,1
il,bg,1,1,0
il,is,1,0,1
is,no,1,0,1
lt,il,1,1,0
lt,se,1,0,1
lv,se,1,0,1
md,cy,1,1,0
mt,sm,1,1,0
nl,al,1,1,0
no,az,1,0,1
no,gr,1,1,0
pl,se,1,0,1
pt,nl,1,1,0
ro,de,1,1,0
ro,il,1,0,1
ru,is,1,0,1
se,be,1,1,0
se,rs,1,0,1
si,il,1,1,0
sm,ru,1,0,1
ua,no,1,1,0
al,az,2,2,0
at,de,2,2,0
au,bg,2,2,0
au,rs,2,0,2
az,pt,2,2,0
bg,nl,2,2,0
ch,az,2,2,0
ch,ua,2,0,2
cy,ch,2,2,0
cy,il,2,0,2
es,fi,2,0,2
fi,gr,2,2,0
fi,md,2,0,2
fr,cy,2,2,0
gb,es,2,2,0
gb,no,2,0,2
ge,md,2,0,2
ge,nl,2,2,0
gr,az,2,0,2
hr,az,2,0,2
hr,lt,2,2,0
ie,az,2,2,0
ie,pt,2,0,2
is,ru,2,2,0
it,md,2,0,2
it,no,2,2,0
lt,bg,2,2,0
lv,mt,2,2,0
lv,no,2,0,2
md,lt,2,0,2
md,pt,2,2,0
mk,fi,2,0,2
mk,ru,2,1,1
nl,az,2,2,0
nl,it,2,0,2
pt,gr,2,0,2
ro,bg,2,2,0
rs,ch,2,1,1
rs,cy,2,0,2
rs,il,2,2,0
ru,lt,2,0,2
si,no,2,0,2
sm,al,2,2,0
ua,pt,2,2,0
ua,se,2,0,2
at,lt,3,0,3
at,nl,3,3,0
au,fi,3,0,3
au,nl,3,3,0
az,be,3,3,0
az,sm,3,0,3
bg,ch,3,0,3
bg,il,3,3,0
ch,ru,3,3,0
ch,se,3,0,3
cz,be,3,3,0
de,rs,3,0,3
dk,fr,3,0,3
es,il,3,3,0
fr,rs,3,0,3
fr,se,3,1,2
gb,it,3,0,3
gb,sm,3,3,0
gr,be,3,3,0
gr,ru,3,2,1
hr,mt,3,3,0
ie,be,3,3,0
il,cy,3,3,0
it,sm,3,0,3
lt,mt,3,3,0
md,se,3,0,3
mk,az,3,0,3
mk,se,3,3,0
nl,lt,3,0,3
pl,be,3,3,0
pl,no,3,0,3
pl,ru,3,1,2
ro,lt,3,0,3
ru,be,3,3,0
se,ru,3,3,0
al,ua,4,0,4
au,cy,4,4,0
az,ch,4,0,4
bg,az,4,0,4
bg,es,4,4,0
cy,be,4,4,0
cz,bg,4,4,0
de,se,4,4,0
dk,lt,4,0,4
ee,no,4,0,4
fi,no,4,0,4
fr,sm,4,4,0
gb,ua,4,0,4
ge,bg,4,4,0
ge,ru,4,0,4
gr,ch,4,0,4
il,az,4,2,2
il,fi,4,0,4
is,gr,4,4,0
is,lt,4,0,4
is,mt,4,1,3
it,fr,4,3,1
it,il,4,4,0
it,rs,4,0,4
lt,ru,4,0,4
mk,is,4,4,0
mk,ua,4,0,4
mt,rs,4,0,4
nl,fi,4,0,4
nl,il,4,4,0
pl,lt,4,0,4
pl,mt,4,4,0
pt,mt,4,4,0
pt,se,4,0,4
ro,az,4,0,4
rs,az,4,0,4
rs,se,4,4,0
ru,mt,4,4,0
se,il,4,4,0
ua,ru,4,0,4
al,bg,5,0,5
al,sm,5,5,0
at,bg,5,5,0
at,fi,5,1,4
az,fi,5,0,5
az,se,5,5,0
bg,mt,5,5,0
bg,rs,5,0,5
ch,fi,5,1,4
ch,lt,5,4,1
cy,lt,5,0,5
cz,fi,5,1,4
dk,it,5,0,5
dk,sm,5,5,0
ee,pt,5,5,0
fi,ru,5,4,1
ge,fr,5,0,5
hr,il,5,5,0
ie,fi,5,0,5
it,be,5,5,0
lt,no,5,0,5
lv,bg,5,5,0
md,fi,5,0,5
md,is,5,5,0
mk,mt,5,5,0
mt,is,5,0,5
pl,fr,5,0,5
pt,be,5,5,0
pt,fi,5,0,5
rs,pt,5,5,0
ru,il,5,5,0
si,mt,5,5,0
sm,bg,5,3,2
sm,fi,5,1,4
sm,ua,5,0,5
ua,mt,5,5,0
al,fi,6,3,3
at,mt,6,4,2
au,lt,6,0,6
az,fr,6,4,2
be,bg,6,6,0
bg,pt,6,6,0
bg,ua,6,0,6
ch,mt,6,6,0
cy,ua,6,0,6
dk,bg,6,6,0
dk,mt,6,4,2
ee,bg,6,6,0
ee,ru,6,0,6
es,cy,6,6,0
es,lt,6,2,4
es,pt,6,5,1
es,ua,6,0,6
fr,be,6,6,0
gb,il,6,6,0
gb,mt,6,0,6
gr,fi,6,0,6
gr,ua,6,1,5
hr,fi,6,0,6
ie,it,6,0,6
il,be,6,6,0
it,pt,6,6,0
lt,pt,6,6,0
lv,fr,6,3,3
mt,cy,6,4,2
mt,fr,6,3,3
mt,gr,6,6,0
mt,lt,6,0,6
mt,ua,6,5,1
nl,be,6,6,0
nl,pt,6,0,6
no,bg,6,6,0
no,fi,6,0,6
pl,il,6,6,0
rs,bg,6,6,0
rs,gr,6,3,3
rs,ru,6,0,6
ru,bg,6,6,0
ru,ch,6,1,5
ru,fr,6,0,6
si,be,6,6,0
sm,lt,6,6,0
ua,az,6,3,3
al,md,7,0,7
at,pt,7,7,0
at,ua,7,0,7
az,mt,7,7,0
az,no,7,0,7
be,lt,7,0,7
be,mt,7,5,2
be,ru,7,7,0
be,se,7,4,3
bg,ru,7,0,7
ch,al,7,0,7
cy,fi,7,3,4
cz,mt,7,7,0
cz,ru,7,2,5
de,cy,7,7,0
de,ru,7,2,5
dk,al,7,7,0
fr,is,7,3,4
fr,md,7,0,7
gb,pt,7,7,0
ge,is,7,6,1
ge,sm,7,0,7
gr,al,7,0,7
gr,sm,7,7,0
hr,ru,7,4,3
ie,no,7,7,0
il,it,7,0,7
it,mt,7,7,0
it,ru,7,0,7
lt,fi,7,0,7
lt,is,7,4,3
md,az,7,6,1
md,ch,7,3,4
md,mt,7,7,0
mt,pt,7,7,0
ru,gr,7,7,0
ru,ua,7,0,7
se,lt,7,0,7
si,ua,7,0,7
sm,ch,7,4,3
sm,mt,7,7,0
ua,be,7,6,1
ua,il,7,7,0
al,mt,8,8,0
be,is,8,3,5
cz,ch,8,5,3
cz,gr,8,0,8
de,fi,8,0,8
de,mt,8,8,0
fi,lt,8,3,5
fi,se,8,5,3
ge,az,8,5,3
ge,pt,8,8,0
gr,bg,8,8,0
hr,ua,8,0,8
ie,ch,8,5,3
is,bg,8,8,0
md,it,8,0,8
mk,cy,8,2,6
mk,il,8,8,0
nl,mt,8,7,1
nl,ru,8,8,0
nl,ua,8,3,5
no,fr,8,4,4
no,il,8,8,0
no,ua,8,3,5
pl,fi,8,2,6
pl,pt,8,8,0
pt,md,8,0,8
rs,ua,8,0,8
ru,fi,8,0,8
si,fi,8,4,4
si,fr,8,2,6
sm,cy,8,0,8
ua,fi,8,0,8
al,cy,9,7,2
az,md,9,8,1
bg,fi,9,1,8
cy,ru,9,6,3
de,is,9,3,6
de,ua,9,5,4
ee,ua,9,4,5
gb,ch,9,8,1
gr,mt,9,6,3
lt,be,9,7,2
mt,fi,9,2,7
no,ch,9,7,2
si,ru,9,8,1
az,gr,10,10,0
az,it,10,0,10
be,it,10,2,8
bg,gr,10,8,2
ch,bg,10,10,0
ch,is,10,5,5
cz,ua,10,0,10
es,it,10,0,10
fi,bg,10,10,0
fi,ua,10,0,10
fr,il,10,5,5
fr,it,10,0,10
fr,ru,10,10,0
ge,ch,10,10,0
gr,md,10,10,0
il,mt,10,5,5
is,se,10,0,10
it,al,10,0,10
md,fr,10,4,6
md,ua,10,0,10
mk,al,10,0,10
mt,ch,10,10,0
mt,no,10,0,10
nl,gr,10,0,10
pt,it,10,3,7
ro,pt,10,10,0
se,ch,10,5,5
se,no,10,2,8
ua,is,10,4,6
ua,lt,10,0,10
au,fr,11,7,4
cy,mt,11,10,1
dk,no,11,3,8
ee,is,11,8,3
ee,it,11,3,8
es,mt,11,8,3
gb,fi,11,4,7
is,ua,11,3,8
lv,ru,11,1,10
pt,is,11,8,3
pt,ru,11,10,1
si,gr,11,3,8
sm,md,11,5,6
at,rs,12,0,12
az,il,12,0,12
be,fr,12,0,12
bg,md,12,12,0
ch,rs,12,0,12
cy,bg,12,5,7
cz,fr,12,10,2
cz,it,12,6,6
cz,md,12,0,12
cz,pt,12,12,0
de,ch,12,10,2
dk,se,12,2,10
ee,lt,12,2,10
es,bg,12,4,8
es,is,12,7,5
fr,gr,12,12,0
fr,ua,12,0,12
gb,lt,12,0,12
ge,gr,12,0,12
is,it,12,7,5
is,pt,12,10,2
lv,fi,12,4,8
md,bg,12,12,0
mk,fr,12,7,5
mt,al,12,12,0
mt,it,12,0,12
nl,ch,12,5,7
no,is,12,2,10
no,it,12,5,7
no,lt,12,0,12
pl,sm,12,12,0
pl,ua,12,0,12
pt,bg,12,12,0
pt,ua,12,2,10
ro,ch,12,7,5
ro,fr,12,4,8
ro,ua,12,5,7
rs,is,12,7,5
ru,az,12,8,4
se,fi,12,0,12
se,fr,12,6,6
se,ua,12,8,4
si,ch,12,7,5
si,rs,12,0,12
au,it,13,6,7
de,it,13,6,7
de,lt,13,1,12
fi,fr,13,7,6
fr,ch,13,7,6
gb,bg,13,5,8
ge,lt,13,3,10
ge,ua,13,7,6
gr,fr,13,5,8
hr,ch,13,8,5
hr,fr,13,6,7
il,lt,13,10,3
is,fr,13,6,7
it,ua,13,1,12
lt,fr,13,5,8
lv,ua,13,7,6
mk,ch,13,6,7
pt,ch,13,7,6
ro,it,13,3,10
se,it,13,10,3
si,is,13,10,3
al,gr,14,6,8
al,it,14,4,10
at,fr,14,8,6
at,it,14,6,8
az,ua,14,6,8
be,fi,14,8,6
ee,ch,14,12,2
fi,it,14,6,8
gr,it,14,4,10
hr,is,14,10,4
ie,mt,14,10,4
ie,ua,14,6,8
it,is,14,8,6
lt,ch,14,8,6
pl,ch,14,7,7
ro,fi,14,8,6
ro,mt,14,12,2
ru,cy,14,2,12
se,mt,14,12,2
at,ch,15,10,5
au,ch,15,10,5
au,ua,15,5,10
ch,pt,15,7,8
cy,fr,15,7,8
cz,is,15,8,7
dk,fi,15,8,7
lv,is,15,10,5
lv,it,15,8,7
md,gr,15,8,7
no,mt,15,12,3
pl,it,15,5,10
ru,md,15,12,3
sm,gr,15,8,7
ua,ch,15,8,7
ua,fr,15,10,5
al,fr,16,10,6
be,ch,16,12,4
fr,pt,16,8,8
ie,lt,16,4,12
il,fr,16,8,8
il,ua,16,4,12
lv,ch,16,12,4
mt,se,16,8,8
bg,fr,17,7,10
ee,fr,17,10,7
es,ch,17,10,7
gb,fr,17,12,5
il,ru,17,7,10
is,fi,17,5,12
it,lt,17,12,5
rs,fi,17,10,7
se,is,17,7,10
az,ru,18,12,6
ch,fr,18,12,6
ch,it,18,8,10
cy,it,18,8,10
dk,ch,18,12,6
ie,is,18,8,10
il,ch,18,12,6
is,ch,18,12,6
it,fi,18,10,8
lv,lt,18,6,12
mk,it,18,10,8
nl,is,18,10,8
no,se,18,10,8
pl,is,18,10,8
pt,fr,18,6,12
ro,md,18,6,12
ee,fi,19,7,12
fi,ch,19,12,7
hr,rs,19,7,12
ie,fr,19,12,7
au,is,20,8,12
au,mt,20,12,8
be,ua,20,10,10
fi,is,20,8,12
gb,is,20,10,10
ge,it,20,12,8
lt,it,20,10,10
rs,it,20,8,12
ru,it,20,10,10
at,is,22,12,10
bg,it,22,10,12
de,fr,22,12,10
dk,is,22,10,12
hr,it,22,12,10
md,ru,22,10,12
rs,fr,22,12,10
si,it,22,12,10
sm,fr,22,12,10
sm,it,22,10,12
al,ch,24,12,12
cy,gr,24,12,12
es,fr,24,12,12
gr,cy,24,12,12
lt,ua,24,12,12
mk,rs,24,12,12
nl,fr,24,12,12
ua,it,24,12,12